,_id,address,description,discoverers,late6,lnge6,location,name,player,timestamp,updated,usage,index
27,ObjectId(5c3cec9bf9cca9d4cb1bc83f),"Aulas, Oficinas y Laboratorios FIEC, Avenida Principal de la ESPOL, Guayaquil, Ecuador",Cartel de información ubicada en el bloque de la fiec nueva,"[{""agent"":""RyanSan19"",""team"":""RESISTANCE""}]",-2145078,-79967479,"{""type"":""Point"",""coordinates"":[-79.967479,-2.145078]}",Cartel De Información De Fiec,_NEUTRAL_,2020-07-19T15:04:59.761Z,2020-07-19T15:04:59.761Z,"{""timestamp"":{""$numberLong"":""1575989946846""},""plain"":3}",7487711
28,ObjectId(5c22365e816b2431635bc74d),"Ulitsa Pribyl'skogo, Tobolsk, Tyumenskaya oblast', Russia, 626157",,"[{""agent"":""Koregon"",""team"":""RESISTANCE""}]",58244713,68275913,"{""type"":""Point"",""coordinates"":[68.275913,58.244713]}",Нагорная мечеть,bodtaib,2020-05-26T03:01:04.000Z,2020-07-19T03:50:56.529Z,"{""timestamp"":{""$numberLong"":""1590462064458""},""plain"":3}",6201845
29,ObjectId(5c223534816b24316310eac0),"Calle de Venustiano Carranza 15, Centro, Cuauhtémoc, 06000 Mexico City, Federal District, Mexico",,"[{""agent"":""arturinho10"",""team"":""RESISTANCE""},{""agent"":""RenatoMtzMx"",""team"":""RESISTANCE""},{""agent"":""sintetico"",""team"":""RESISTANCE""}]",19432089,-99141029,"{""type"":""Point"",""coordinates"":[-99.141029,19.432089]}",Librería Juan Jose Arreola,kr0n05kira,2020-07-18T22:13:06.000Z,2020-07-18T22:25:13.610Z,"{""timestamp"":{""$numberLong"":""1595110386500""},""plain"":2}",1450127
30,ObjectId(5c2235d2816b2431633b5ddf),"1 Avenue de la République, 64200 Biarritz, France",Cathedral entrance ,"[{""agent"":""5epsis"",""team"":""ALIENS""}]",43478998,-1561891,"{""type"":""Point"",""coordinates"":[-1.561891,43.478998]}",Crucifix,LezOU,2020-07-16T09:14:12.000Z,2020-07-19T02:41:34.466Z,"{""timestamp"":{""$numberLong"":""1594890852391""},""plain"":2}",4150552
31,ObjectId(5c2235dc816b2431633df60f),"Rua Doutor Miguel Vieira Ferreira, 244 - Ramos, Rio - Rio de Janeiro, Brazil",,"[{""agent"":""Monergist"",""team"":""RESISTANCE""},{""agent"":""gabrielleo93"",""team"":""RESISTANCE""}]",-22855167,-43262436,"{""type"":""Point"",""coordinates"":[-43.262436,-22.855167]}",Igreja Presbiteriana De Ramos,_NEUTRAL_,2020-07-17T21:18:02.600Z,2020-07-17T21:18:02.600Z,"{""timestamp"":{""$numberLong"":""1583155038376""},""plain"":1}",4316519
32,ObjectId(5c2234f8816b243163fe699a),"Kreuzweg 40, 63456 Hanau, Germany",,"[{""agent"":""Pega5u5"",""team"":""RESISTANCE""},{""agent"":""PKBCHU4Y"",""team"":""ALIENS""}]",50111503,8912392,"{""type"":""Point"",""coordinates"":[8.912392,50.111503]}",rotes Steingebilde IV,PatrickVR6,2020-07-04T09:42:32.000Z,2020-07-20T03:36:37.197Z,"{""timestamp"":{""$numberLong"":""1595215370948""},""plain"":4}",272819
33,ObjectId(5cefb3f13d0a0ad85310130b),"Maisanraitti 49, 34260 Tampere, Finland",,"[{""agent"":""kermifi"",""team"":""ALIENS""}]",61696588,23824161,"{""type"":""Point"",""coordinates"":[23.824161,61.696588]}",Maisansalon Grillikota,_NEUTRAL_,2020-07-18T20:07:18.258Z,2020-07-18T20:07:18.258Z,"{""timestamp"":{""$numberLong"":""1592610181146""},""plain"":3}",8703773
34,ObjectId(5c223608816b243163489928),"86 Askew Road, White City, London W12, UK",Local community library,"[{""agent"":""almostwitty"",""team"":""ALIENS""}]",51503563,-243327,"{""type"":""Point"",""coordinates"":[-0.243327,51.503563]}",Askew Road Library,GeneralMalarkey,2020-07-16T18:03:33.000Z,2020-07-19T11:57:06.752Z,"{""timestamp"":{""$numberLong"":""1594922630914""},""plain"":4}",4991298
35,ObjectId(5c2234fc816b243163ff3f43),"28 Miller Street, Queanbeyan West NSW 2620, Australia",,"[{""agent"":""Lainee777"",""team"":""RESISTANCE""}]",-35359851,149209446,"{""type"":""Point"",""coordinates"":[149.209446,-35.359851]}",Letchworth Neighborhood Centre,_NEUTRAL_,2020-07-18T12:45:39.553Z,2020-07-18T12:45:39.553Z,"{""timestamp"":{""$numberLong"":""1592705028460""},""plain"":5}",326154
36,ObjectId(5e88116b402e17f77130c1ff),"IBP Road, Legazpi Port District, Legazpi City, Albay, Philippines","Legaspi City, Albay","[{""agent"":""Burg00"",""team"":""ALIENS""}]",13143911,123746695,"{""type"":""Point"",""coordinates"":[123.746695,13.143911]}",Ibalong Center for Recreation,Joelzkie,2020-07-07T06:03:57.000Z,2020-07-17T10:09:34.487Z,"{""timestamp"":{""$numberLong"":""1594101822510""},""plain"":3}",11164477
